epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12356.2,1.23046,0.87336,0.90558,0.52705,0.40659,0.42151,0.25916,1.18583,0.85648,0.89176,0.000900844,0.000900844,0.000900844
43,12649.5,1.23083,0.86981,0.9047,0.53057,0.40171,0.42138,0.25682,1.18065,0.85565,0.88991,0.000896127,0.000896127,0.000896127
44,12943.1,1.22326,0.86928,0.90534,0.53219,0.4022,0.4195,0.254,1.19048,0.86442,0.89125,0.000891313,0.000891313,0.000891313
45,13236.7,1.23265,0.87541,0.90751,0.5202,0.40618,0.41977,0.25508,1.18966,0.85784,0.89247,0.000886404,0.000886404,0.000886404
46,13529.4,1.22487,0.86401,0.90412,0.53522,0.41234,0.42877,0.26306,1.17824,0.84142,0.88911,0.000881401,0.000881401,0.000881401
47,13823.8,1.22115,0.86148,0.90344,0.53275,0.40581,0.42374,0.25934,1.18023,0.84806,0.88961,0.000876305,0.000876305,0.000876305
48,14118.2,1.2254,0.86492,0.9032,0.53174,0.41186,0.42642,0.26081,1.18131,0.84773,0.88912,0.000871117,0.000871117,0.000871117
49,14412.1,1.21817,0.85637,0.90343,0.53722,0.40722,0.42645,0.26121,1.17867,0.84057,0.88914,0.000865839,0.000865839,0.000865839
50,14706.6,1.22472,0.85452,0.90306,0.54211,0.40794,0.43143,0.2634,1.1743,0.84132,0.88824,0.000860473,0.000860473,0.000860473
51,15000.7,1.21645,0.85276,0.90285,0.53195,0.41304,0.4328,0.26517,1.16968,0.8387,0.88647,0.000855018,0.000855018,0.000855018
52,15295.2,1.22372,0.85845,0.90139,0.53761,0.4105,0.42949,0.26419,1.16959,0.83979,0.88794,0.000849477,0.000849477,0.000849477
53,15590,1.2139,0.8468,0.90281,0.53262,0.41375,0.43279,0.26431,1.17328,0.83281,0.8877,0.000843851,0.000843851,0.000843851
54,15884.9,1.21985,0.84631,0.90113,0.53864,0.42144,0.43508,0.26628,1.1651,0.82823,0.88638,0.000838141,0.000838141,0.000838141
55,16179.1,1.21236,0.84042,0.89979,0.53986,0.41632,0.4354,0.2666,1.16852,0.8328,0.88762,0.000832349,0.000832349,0.000832349
56,16472.9,1.20663,0.84327,0.90288,0.53974,0.41276,0.43356,0.26556,1.16927,0.8354,0.88793,0.000826477,0.000826477,0.000826477
57,16766,1.20884,0.84275,0.90185,0.54446,0.41756,0.43613,0.2678,1.16413,0.83036,0.88589,0.000820525,0.000820525,0.000820525
58,17059.8,1.20602,0.83762,0.90075,0.55073,0.42153,0.44205,0.27192,1.15606,0.82502,0.8846,0.000814495,0.000814495,0.000814495
59,17353.3,1.21198,0.84179,0.90079,0.55511,0.41688,0.44183,0.27161,1.16056,0.82524,0.88594,0.000808389,0.000808389,0.000808389
60,17646.7,1.20472,0.83257,0.89915,0.53674,0.42791,0.44171,0.27057,1.16121,0.82148,0.88576,0.000802208,0.000802208,0.000802208
61,17940.8,1.20589,0.83102,0.8983,0.54433,0.42211,0.44116,0.27174,1.16114,0.82286,0.88408,0.000795954,0.000795954,0.000795954
62,18234.5,1.20457,0.83237,0.89945,0.53531,0.43275,0.44269,0.27287,1.16096,0.82155,0.88624,0.000789628,0.000789628,0.000789628
63,18529.3,1.20099,0.82807,0.89586,0.5401,0.4238,0.43922,0.27008,1.16127,0.82267,0.88653,0.000783231,0.000783231,0.000783231
64,18823.2,1.20492,0.83,0.89722,0.55187,0.42162,0.44242,0.2717,1.15913,0.82132,0.8867,0.000776766,0.000776766,0.000776766
65,19117.7,1.20172,0.8287,0.89669,0.54275,0.43012,0.44362,0.27362,1.15559,0.81591,0.88473,0.000770234,0.000770234,0.000770234
66,19411.4,1.19725,0.82466,0.89921,0.55105,0.4232,0.4446,0.27532,1.15704,0.81599,0.88421,0.000763637,0.000763637,0.000763637
67,19704.7,1.18905,0.81977,0.899,0.54656,0.43109,0.44943,0.27829,1.15592,0.81641,0.88351,0.000756976,0.000756976,0.000756976
68,19998.4,1.19582,0.81902,0.89503,0.55843,0.42592,0.45128,0.27817,1.15133,0.8104,0.88229,0.000750252,0.000750252,0.000750252
69,20291.7,1.18814,0.81287,0.89463,0.55771,0.42708,0.45138,0.27902,1.15149,0.8091,0.88276,0.000743468,0.000743468,0.000743468
